frequency_hz,direct_adc_int16,filtered_adc_int16,direct_rms_uint16,filtered_rms_uint16,direct_rms_float,filtered_rms_float
41980,-21670,1,16686,12,16685.8630272489,11.5944659482444
42000,2301,-18,16684,11,16684.1474553033,11.054695781799
42020,19597,10,16686,11,16686.4845737042,10.8232312173572
42040,-20700,5,16686,11,16685.6172658149,10.5119212459593
42060,-240,-12,16684,10,16684.4351645115,10.3077877491366
42080,21029,1,16687,10,16686.7777941948,9.91056195587566
42100,-19517,13,16685,10,16685.3084431636,9.64404315416387
42120,-2770,-16,16685,9,16684.612613403,9.15316981040585
42140,22193,-1,16687,9,16686.6735294082,8.96360370644809
42160,-18094,15,16685,9,16685.3060292301,8.64943605910958
42180,-5254,0,16685,8,16684.7472173037,8.3594772190012
42200,23096,3,16687,8,16686.6294749166,7.88920160428956
42220,-16470,16,16685,8,16684.8933441823,7.63856375570696
42240,-7651,-4,16685,7,16684.925408756,7.28860612853205
42260,23704,5,16687,7,16686.8335854908,7.12893942629267
42280,-14641,8,16685,7,16684.8622817829,6.61070465348627
42300,-9946,-7,16685,7,16685.3424677869,6.5120831200546
42320,24027,-7,16687,6,16686.7794170631,6.18603991611354
42340,-12658,2,16685,6,16684.6116060818,5.93390104742445
42360,-12123,8,16685,6,16685.4125698534,5.64004065532776
42380,24063,-13,16687,6,16686.5242070598,5.59558280029882
42400,-10507,-8,16685,5,16684.5811801417,5.37974445402614
42420,-14151,2,16686,5,16685.7228812633,5.24369506079682
42440,23782,4,16686,5,16686.4616781444,5.15217642118358
42460,-8220,6,16684,5,16684.4361394755,5.15381097617336
42480,-16015,3,16686,5,16685.931851157,5.04738290787909
42500,23225,3,16686,5,16686.2263969088,5.02556938627356
42520,-5821,-13,16684,5,16684.4970552405,5.05960565409993
42540,-17678,-7,16686,5,16686.1848682092,5.17085998347954
42560,22372,17,16686,5,16685.9243821204,5.34187649906379
42580,-3327,0,16685,6,16684.5444912388,5.58722122486885
42600,-19141,0,16686,6,16686.3975835677,5.75560189076694
42620,21241,3,16686,6,16685.7200543585,5.8609164639052
42640,-798,-6,16685,6,16684.5556879673,6.09385015943328
42660,-20394,-3,16686,6,16686.4931176734,6.48126808097767
42680,19853,10,16685,7,16685.2743133099,6.72713865854198
42700,1763,2,16685,7,16684.5835148561,6.81466780302789
42720,-21418,0,16687,7,16686.5722213708,7.24705287621285
42740,18234,0,16685,8,16685.138558199,7.50216440123282
42760,4323,-4,16685,8,16684.8124848041,7.91894669743868
42780,-22208,0,16687,8,16686.6366967264,8.149287617447
42800,16411,15,16685,8,16684.9950031715,8.30161117174702
42820,6839,-4,16685,9,16685.0528828534,8.70358784675894
42840,-22753,-6,16687,9,16686.6243684711,9.08069294575034
42860,14383,11,16685,9,16684.7175655578,9.27679027954308
42880,9297,-2,16685,10,16685.4251175544,9.63211232755438
42900,-23049,-9,16686,10,16686.4967671939,9.90093755424834
42920,12202,3,16684,10,16684.3906961377,10.3210192083922
42940,11662,11,16686,11,16685.5434171979,10.5819670829081
42960,-23086,-12,16686,11,16686.4123544559,10.8397191715814
42980,9881,4,16684,11,16684.3378383149,10.9988125246831
43000,13894,11,16686,11,16685.9080963841,11.4968257337895
43020,-22880,-10,16686,12,16686.1847352546,11.509262998369
43040,7451,7,16684,12,16684.3769478278,11.9352910259868
43060,15962,9,16686,12,16685.984981665,12.2262405109359
43080,-22418,-11,16686,12,16686.1033044731,12.3054984851793
43100,4970,-7,16684,13,16684.3074643054,12.665525150729
43120,17853,19,16686,13,16686.2678174168,12.7359661582612
43140,-21703,-20,16686,13,16685.7973227283,12.8431987412112
43160,2430,-9,16684,13,16684.3763110484,13.0711226773707
43180,19526,17,16686,13,16686.4034161076,13.2632598745557
43200,-20759,-5,16686,13,16685.596172627,13.3921017272075
43220,-125,-6,16684,14,16684.2316572907,13.5317461658455
43240,20966,22,16687,14,16686.6342850846,13.6935988124926
43260,-19571,-6,16685,14,16685.3311344402,13.9826640014743
43280,-2650,-8,16685,14,16684.6294164614,14.058541109411
43300,22143,18,16687,14,16686.7469687891,14.1885324514201
43320,-18173,-8,16685,14,16685.1648911342,14.1711772843684
43340,-5134,-10,16685,14,16684.5830110667,14.3087467786316
43360,23047,16,16687,14,16686.8494520242,14.3450945720567
43380,-16552,-5,16685,14,16685.0136955079,14.2743931843441
43400,-7541,-24,16685,14,16685.0067478129,14.4446934866018
43420,23681,16,16687,14,16686.7558255841,14.4964384769372
43440,-14742,2,16685,15,16684.8502488606,14.5195685574245
43460,-9851,-21,16685,14,16685.2969434416,14.3792283183504
43480,24020,17,16687,14,16686.6639289182,14.4399010449345
43500,-12745,-2,16685,14,16684.7624613112,14.3740658663876
43520,-12034,-14,16686,14,16685.511168316,14.3398261926139
43540,24070,8,16687,14,16686.5653908384,14.1469426494959
43560,-10599,7,16685,14,16684.5317641949,14.1998328830395
43580,-14064,-18,16686,14,16685.6856213578,14.1808733147416
43600,23801,5,16686,14,16686.3596695763,14.0093178394997
43620,-8321,13,16685,14,16684.5670211165,13.8813506018417
43640,-15922,-23,16686,14,16685.8506166167,13.8344265302858
43660,23252,4,16686,14,16686.0809500737,13.6937592708777
43680,-5932,19,16684,14,16684.4709471233,13.5464064221152
43700,-17604,-13,16686,13,16686.0414875699,13.2804871104423
43720,22413,6,16686,13,16685.8633186588,13.1542456905556
43740,-3453,10,16684,13,16684.4187294859,12.9728720858663
43760,-19086,-16,16686,13,16686.2865943223,12.8366578655135
43780,21301,1,16686,13,16685.7240452229,12.736541226796
43800,-918,15,16684,12,16684.3912102346,12.3840422299476
43820,-20352,-9,16686,12,16686.4809286654,12.2395423314916
