frequency_hz,direct_i_int16,direct_q_int16,filtered_i_int16,filtered_q_int16,direct_iq_magnitude,filtered_iq_magnitude
53040,4265,-10998,-1,-7,11796.0259833556,7.07106781186548
53060,4268,-10997,-1,-7,11796.1787456786,7.07106781186548
53080,4266,-10995,-1,-7,11793.5906745995,7.07106781186548
53100,4266,-10998,-2,-7,11796.3875826458,7.28010988928052
53120,4268,-10997,-2,-7,11796.1787456786,7.28010988928052
53140,4266,-10996,-2,-7,11794.5229661907,7.28010988928052
53160,4266,-10998,-2,-7,11796.3875826458,7.28010988928052
53180,4268,-10996,-3,-7,11795.2465001796,7.61577310586391
53200,4265,-10996,-3,-7,11794.1613097329,7.61577310586391
53220,4266,-10998,-3,-7,11796.3875826458,7.61577310586391
53240,4268,-10996,-3,-7,11795.2465001796,7.61577310586391
53260,4265,-10996,-3,-7,11794.1613097329,7.61577310586391
53280,4267,-10998,-4,-6,11796.7492556212,7.21110255092798
53300,4268,-10996,-4,-6,11795.2465001796,7.21110255092798
53320,4265,-10996,-4,-6,11794.1613097329,7.21110255092798
53340,4267,-10998,-4,-6,11796.7492556212,7.21110255092798
53360,4267,-10996,-4,-6,11794.8846963419,7.21110255092798
53380,4265,-10997,-4,-6,11795.0936410018,7.21110255092798
53400,4267,-10998,-4,-5,11796.7492556212,6.40312423743285
53420,4267,-10995,-5,-5,11793.9524333448,7.07106781186548
53440,4265,-10997,-5,-5,11795.0936410018,7.07106781186548
53460,4268,-10998,-5,-5,11797.1110022751,7.07106781186548
53480,4267,-10995,-5,-4,11793.9524333448,6.40312423743285
53500,4265,-10997,-5,-4,11795.0936410018,6.40312423743285
53520,4268,-10997,-5,-4,11796.1787456786,6.40312423743285
53540,4266,-10995,-5,-4,11793.5906745995,6.40312423743285
53560,4265,-10998,-5,-3,11796.0259833556,5.8309518948453
53580,4268,-10997,-5,-3,11796.1787456786,5.8309518948453
53600,4266,-10995,-5,-3,11793.5906745995,5.8309518948453
53620,4265,-10998,-5,-3,11796.0259833556,5.8309518948453
53640,4268,-10997,-5,-3,11796.1787456786,5.8309518948453
53660,4266,-10995,-5,-2,11793.5906745995,5.3851648071345
53680,4266,-10998,-5,-2,11796.3875826458,5.3851648071345
53700,4268,-10997,-4,-2,11796.1787456786,4.47213595499958
53720,4265,-10996,-4,-2,11794.1613097329,4.47213595499958
53740,4266,-10998,-4,-1,11796.3875826458,4.12310562561766
53760,4268,-10996,-4,-1,11795.2465001796,4.12310562561766
53780,4265,-10996,-4,-1,11794.1613097329,4.12310562561766
53800,4266,-10998,-4,-1,11796.3875826458,4.12310562561766
53820,4268,-10996,-4,-1,11795.2465001796,4.12310562561766
53840,4265,-10996,-4,-1,11794.1613097329,4.12310562561766
53860,4267,-10998,-3,0,11796.7492556212,3
53880,4268,-10996,-3,0,11795.2465001796,3
53900,4265,-10996,-3,0,11794.1613097329,3
53920,4267,-10998,-3,0,11796.7492556212,3
53940,4267,-10996,-2,0,11794.8846963419,2
53960,4265,-10997,-2,0,11795.0936410018,2
53980,4267,-10998,-2,0,11796.7492556212,2
54000,4267,-10995,-2,0,11793.9524333448,2
54020,4265,-10997,-1,0,11795.0936410018,1
54040,4268,-10998,-1,0,11797.1110022751,1
54060,4267,-10995,-1,0,11793.9524333448,1
54080,4265,-10997,-1,0,11795.0936410018,1
54100,4268,-10998,-1,0,11797.1110022751,1
54120,4266,-10995,0,0,11793.5906745995,0
54140,4265,-10997,0,0,11795.0936410018,0
54160,4268,-10997,0,0,11796.1787456786,0
54180,4266,-10995,0,0,11793.5906745995,0
54200,4265,-10998,1,0,11796.0259833556,1
54220,4268,-10997,1,0,11796.1787456786,1
54240,4266,-10995,1,0,11793.5906745995,1
54260,4266,-10998,1,-1,11796.3875826458,1.4142135623731
54280,4268,-10997,1,-1,11796.1787456786,1.4142135623731
54300,4266,-10996,1,-1,11794.5229661907,1.4142135623731
54320,4266,-10998,2,-1,11796.3875826458,2.23606797749979
54340,4268,-10996,2,-1,11795.2465001796,2.23606797749979
54360,4265,-10996,2,-2,11794.1613097329,2.82842712474619
54380,4266,-10998,2,-2,11796.3875826458,2.82842712474619
54400,4268,-10996,2,-2,11795.2465001796,2.82842712474619
54420,4265,-10996,2,-2,11794.1613097329,2.82842712474619
54440,4267,-10998,2,-2,11796.7492556212,2.82842712474619
54460,4268,-10996,2,-3,11795.2465001796,3.60555127546399
54480,4265,-10996,2,-3,11794.1613097329,3.60555127546399
54500,4267,-10998,2,-3,11796.7492556212,3.60555127546399
54520,4267,-10995,2,-3,11793.9524333448,3.60555127546399
54540,4265,-10997,2,-3,11795.0936410018,3.60555127546399
54560,4267,-10998,2,-4,11796.7492556212,4.47213595499958
54580,4267,-10995,2,-4,11793.9524333448,4.47213595499958
54600,4265,-10997,2,-4,11795.0936410018,4.47213595499958
54620,4267,-10998,2,-4,11796.7492556212,4.47213595499958
54640,4267,-10995,2,-5,11793.9524333448,5.3851648071345
54660,4265,-10997,2,-5,11795.0936410018,5.3851648071345
54680,4268,-10997,2,-5,11796.1787456786,5.3851648071345
54700,4266,-10995,2,-5,11793.5906745995,5.3851648071345
54720,4265,-10998,2,-5,11796.0259833556,5.3851648071345
54740,4268,-10997,2,-6,11796.1787456786,6.32455532033676
54760,4266,-10995,2,-6,11793.5906745995,6.32455532033676
54780,4265,-10998,1,-6,11796.0259833556,6.08276253029822
54800,4268,-10997,1,-6,11796.1787456786,6.08276253029822
54820,4266,-10995,1,-6,11793.5906745995,6.08276253029822
54840,4266,-10998,1,-6,11796.3875826458,6.08276253029822
54860,4268,-10996,1,-7,11795.2465001796,7.07106781186548
54880,4265,-10995,0,-7,11793.2289895516,7
54900,4266,-10998,0,-7,11796.3875826458,7
54920,4268,-10996,0,-7,11795.2465001796,7
54940,4265,-10996,0,-7,11794.1613097329,7
54960,4266,-10998,0,-7,11796.3875826458,7
54980,4268,-10996,-1,-7,11795.2465001796,7.07106781186548
55000,4265,-10996,-1,-7,11794.1613097329,7.07106781186548
55020,4267,-10998,-1,-7,11796.7492556212,7.07106781186548
55040,4268,-10996,-1,-7,11795.2465001796,7.07106781186548
55060,4265,-10996,-2,-7,11794.1613097329,7.28010988928052
55080,4267,-10998,-2,-7,11796.7492556212,7.28010988928052
55100,4267,-10996,-2,-7,11794.8846963419,7.28010988928052
55120,4265,-10996,-2,-7,11794.1613097329,7.28010988928052
55140,4267,-10998,-2,-7,11796.7492556212,7.28010988928052
55160,4267,-10995,-3,-7,11793.9524333448,7.61577310586391
55180,4265,-10997,-3,-6,11795.0936410018,6.70820393249937
55200,4267,-10998,-3,-6,11796.7492556212,6.70820393249937
